address,apn,building_type,stories_total,stories_above,stories_below,units,occupancy_type
1242 17TH ST,4282001008,Soft Story,2,2,0,6,
1245 16TH ST,4282001033,Steel Moment Frame,3,,,0,
1626 WILSHIRE BLVD,4282001034,Non-Ductile Concrete,2,,,0,Commercial
1228 15TH ST,4282003003,Soft Story,2,2,0,10,
1232 15TH ST,4282003004,Soft Story,2,2,0,17,
1223 14TH ST,4282003017,Soft Story,2,2,0,4,
1218 14TH ST,4282004003,Soft Story,3,3,0,12,
1234 14TH ST,4282004006,Soft Story,2,2,0,11,
1248 14TH ST,4282004009,Soft Story,2,2,0,4,
1254 14TH ST,4282004010,Soft Story,2,2,0,4,
1303 ARIZONA AVE (1301-1303 ARIZONA AVE),4282004013,Soft Story,2,2,0,3,
1251 EUCLID ST,4282004014,Soft Story,3,3,0,7,
1227 EUCLID ST,4282004019,Soft Story,3,2,0,10,
1314 WILSHIRE BLVD,4282004022,Non-Ductile Concrete,2,,,0,Commercial
1228 EUCLID ST,4282005005,Soft Story,3,3,0,10,
1236 EUCLID ST,4282005007,Soft Story,3,3,0,10,
1244 EUCLID ST,4282005008,Soft Story,3,3,0,12,
1246 EUCLID ST,4282005009,Soft Story,3,3,0,11,
1247 12TH ST,4282005017,Soft Story,3,3,0,10,
1243 12TH ST,4282005018,Soft Story,3,3,0,10,
1239 12TH ST,4282005019,Soft Story,3,3,0,11,
1229 12TH ST,4282005021,Soft Story,3,3,0,12,
1225 12TH ST,4282005030,Soft Story,2,2,0,10,
1257 12TH ST,4282005031,Soft Story,3,3,0,16,
1224 12TH ST,4282006005,Soft Story,3,3,0,10,
1247 11TH ST,4282006017,Soft Story,2,2,0,9,
1227 11TH ST,4282006021,Soft Story,2,2,0,10,
1221 11TH ST,4282006022,Soft Story,2,2,0,4,
1215 11TH ST,4282006023,Soft Story,2,2,0,7,
1253 11TH ST,4282006054,Soft Story,3,3,0,5,
1253 11TH ST,4282006055,Soft Story,3,3,0,5,
1253 11TH ST,4282006056,Soft Story,3,3,0,5,
1253 11TH ST,4282006057,Soft Story,3,3,0,5,
1253 11TH ST,4282006058,Soft Story,3,3,0,5,
1218 11TH ST,4282007004,Soft Story,2,2,0,3,
1234 11TH ST,4282007007,Soft Story,3,3,0,11,
1221 10TH ST,4282007019,Soft Story,2,2,0,10,
1244 11TH ST,4282007024,Soft Story,3,3,0,20,
1258 10TH ST,4282008009,Soft Story,3,3,0,11,
915 ARIZONA AVE,4282008010,Soft Story,2,2,0,7,
1257 9TH ST,4282008012,Soft Story,3,3,0,5,
1249 9TH ST,4282008013,Soft Story,2,2,0,10,
1241 9TH ST,4282008014,Soft Story,2,2,0,10,
1217 9TH ST,4282008019,Soft Story,2,2,0,10,
1250 10TH ST,4282008023,Soft Story,3,3,0,22,
1239 9TH ST,4282008031,Soft Story,3,3,0,7,
1239 9TH ST,4282008032,Soft Story,3,3,0,7,
1239 9TH ST,4282008033,Soft Story,3,3,0,7,
1239 9TH ST,4282008034,Soft Story,3,3,0,7,
1239 9TH ST,4282008035,Soft Story,3,3,0,7,
1239 9TH ST,4282008036,Soft Story,3,3,0,7,
1239 9TH ST,4282008037,Soft Story,3,3,0,7,
900 WILSHIRE BLVD,4282008071,Steel Moment Frame,3,,,0,
1228 9TH ST,4282009006,Soft Story,3,3,0,10,
1236 9TH ST,4282009007,Soft Story,3,3,0,16,
1231 LINCOLN BLVD (1233 LINCOLN BLVD),4282009017,Unreinforced Masonry,2,,,,
1254 9TH ST,4282009025,Soft Story,3,3,0,11,
1264 9TH ST,4282009026,Soft Story,3,3,0,11,
1218 9TH ST,4282009032,Soft Story,3,3,0,12,
1218 9TH ST,4282009033,Soft Story,3,3,0,12,
1218 9TH ST,4282009034,Soft Story,3,3,0,12,
1218 9TH ST,4282009035,Soft Story,3,3,0,12,
1218 9TH ST,4282009036,Soft Story,3,3,0,12,
1218 9TH ST,4282009037,Soft Story,3,3,0,12,
1218 9TH ST,4282009038,Soft Story,3,3,0,12,
1218 9TH ST,4282009039,Soft Story,3,3,0,12,
1218 9TH ST,4282009040,Soft Story,3,3,0,12,
1218 9TH ST,4282009041,Soft Story,3,3,0,12,
1218 9TH ST,4282009042,Soft Story,3,3,0,12,
1218 9TH ST,4282009043,Soft Story,3,3,0,12,
1242 9TH ST,4282009045,Soft Story,3,3,0,8,
1242 9TH ST,4282009046,Soft Story,3,3,0,8,
1242 9TH ST,4282009047,Soft Story,3,3,0,8,
1242 9TH ST,4282009048,Soft Story,3,3,0,8,
1242 9TH ST,4282009049,Soft Story,3,3,0,8,
1242 9TH ST,4282009050,Soft Story,3,3,0,8,
1242 9TH ST,4282009051,Soft Story,3,3,0,8,
1242 9TH ST,4282009052,Soft Story,3,3,0,8,
828 ARIZONA AVE,4282010001,Soft Story,2,2,0,11,
1324 9TH ST,4282010007,Soft Story,2,2,0,10,
1334 9TH ST,4282010009,Soft Story,2,2,0,7,
1340 9TH ST,4282010010,Soft Story,2,2,0,6,
1310 10TH ST,4282011003,Soft Story,3,3,0,10,
1314 10TH ST,4282011004,Soft Story,2,2,0,6,
1328 10TH ST,4282011007,Soft Story,2,2,0,1,
1330 10TH ST,4282011008,Soft Story,2,2,0,5,
1341 9TH ST,4282011019,Soft Story,2,1,0,0,
1333 9TH ST,4282011021,Soft Story,2,2,0,10,
1307 9TH ST,4282011026,Soft Story,2,2,0,11,
1303 9TH ST,4282011027,Soft Story,2,2,0,3,
914 ARIZONA AVE,4282011029,Soft Story,3,3,0,10,
1313 9TH ST,4282011032,Soft Story,3,3,0,22,
1325 9TH ST,4282011043,Soft Story,3,3,0,10,
1325 9TH ST,4282011044,Soft Story,3,3,0,10,
1325 9TH ST,4282011045,Soft Story,3,3,0,10,
1325 9TH ST,4282011046,Soft Story,3,3,0,10,
1325 9TH ST,4282011047,Soft Story,3,3,0,10,
1325 9TH ST,4282011048,Soft Story,3,3,0,10,
1325 9TH ST,4282011049,Soft Story,3,3,0,10,
1325 9TH ST,4282011050,Soft Story,3,3,0,10,
1325 9TH ST,4282011051,Soft Story,3,3,0,10,
1325 9TH ST,4282011052,Soft Story,3,3,0,10,
919 SANTA MONICA BLVD,4282011900,Steel Moment Frame,3,,,0,
1304 12TH ST,4282013001,Soft Story,3,3,0,3,
1328 12TH ST,4282013006,Soft Story,2,2,0,7,
1327 11TH ST,4282013017,Soft Story,2,2,0,7,
1323 11TH ST,4282013018,Soft Story,2,2,0,10,
1315 11TH ST,4282013020,Soft Story,2,2,0,11,
1120 ARIZONA AVE (1120 ARIZONA AVE/1310-1312 12TH ST),4282013023,Soft Story,3,3,0,20,
1127 SANTA MONICA BLVD (1117 SANTA MONICA BLVD),4282013024,Unreinforced Masonry,2,,,,
1319 11TH ST,4282013026,Soft Story,2,2,0,11,
1319 11TH ST,4282013027,Soft Story,2,2,0,11,
1319 11TH ST,4282013028,Soft Story,2,2,0,11,
1319 11TH ST,4282013029,Soft Story,2,2,0,11,
1319 11TH ST,4282013030,Soft Story,2,2,0,11,
1319 11TH ST,4282013031,Soft Story,2,2,0,11,
1319 11TH ST,4282013032,Soft Story,2,2,0,11,
1319 11TH ST,4282013033,Soft Story,2,2,0,11,
1319 11TH ST,4282013034,Soft Story,2,2,0,11,
1319 11TH ST,4282013035,Soft Story,2,2,0,11,
1319 11TH ST,4282013036,Soft Story,2,2,0,11,
1314 EUCLID ST (1304-1314 EUCLID ST),4282014003,Soft Story,3,3,0,11,
1318 EUCLID ST,4282014004,Soft Story,3,3,0,11,
1322 EUCLID ST,4282014005,Soft Story,2,2,0,11,
1328 EUCLID ST,4282014006,Soft Story,2,2,0,11,
1334 EUCLID ST,4282014007,Soft Story,2,2,0,10,
1221 SANTA MONICA BLVD (1229 SANTA MONICA BLVD),4282014012,Unreinforced Masonry,1,,,,
1327 12TH ST,4282014018,Soft Story,2,2,0,10,
1302 EUCLID ST,4282014028,Soft Story,3,3,0,18,
1317 12TH ST,4282014030,Soft Story,3,3,0,10,
1317 12TH ST,4282014031,Soft Story,3,3,0,10,
1317 12TH ST,4282014032,Soft Story,3,3,0,10,
1317 12TH ST,4282014033,Soft Story,3,3,0,10,
1317 12TH ST,4282014034,Soft Story,3,3,0,10,
1317 12TH ST,4282014035,Soft Story,3,3,0,10,
1317 12TH ST,4282014036,Soft Story,3,3,0,10,
1317 12TH ST,4282014037,Soft Story,3,3,0,10,
1317 12TH ST,4282014038,Soft Story,3,3,0,10,
1317 12TH ST,4282014039,Soft Story,3,3,0,10,
1332 14TH ST,4282015008,Soft Story,2,2,0,5,
1338 14TH ST,4282015009,Soft Story,3,3,0,12,
1344 14TH ST,4282015010,Soft Story,2,2,0,11,
1321 EUCLID ST,4282015021,Soft Story,3,3,0,11,
1311 EUCLID ST,4282015023,Soft Story,3,3,0,11,
1307 EUCLID ST,4282015024,Soft Story,3,3,0,10,
1306 ARIZONA AVE,4282015025,Soft Story,2,2,0,12,
1339 14TH ST (1339-1343 14TH ST),4282016016,Soft Story,2,2,0,16,
1323 14TH ST,4282016019,Soft Story,3,3,0,11,
1319 14TH ST,4282016020,Soft Story,2,2,0,7,
1307 14TH ST,4282016022,Soft Story,2,2,0,6,
1304 15TH ST,4282016026,Non-Ductile Concrete,4,,,0,Clinic
1333 14TH ST,4282016030,Soft Story,3,3,0,11,
1333 14TH ST,4282016031,Soft Story,3,3,0,11,
1333 14TH ST,4282016032,Soft Story,3,3,0,11,
1333 14TH ST,4282016033,Soft Story,3,3,0,11,
1333 14TH ST,4282016034,Soft Story,3,3,0,11,
1333 14TH ST,4282016035,Soft Story,3,3,0,11,
1333 14TH ST,4282016036,Soft Story,3,3,0,11,
1333 14TH ST,4282016037,Soft Story,3,3,0,11,
1333 14TH ST,4282016038,Soft Story,3,3,0,11,
1333 14TH ST,4282016039,Soft Story,3,3,0,11,
1333 14TH ST,4282016040,Soft Story,3,3,0,11,
1318 16TH ST,4282017004,Soft Story,4,4,0,18,
1324 16TH ST,4282017005,Soft Story,2,2,0,4,
1501 SANTA MONICA BLVD,4282017013,Unreinforced Masonry,1,,,,
1508 ARIZONA AVE,4282017026,Non-Ductile Concrete,3,,,0,Commercial
1307 15TH ST,4282017034,Soft Story,2,2,0,11,
1631 SANTA MONICA BLVD (1623 SANTA MONICA BLVD),4282018011,Unreinforced Masonry,"1, portions are 2",,,,
1311 16TH ST,4282018900,Non-Ductile Concrete,4,,,0,Parking Garage
1412 17TH ST,4282019003,Soft Story,2,2,0,12,
1421 16TH ST (1419-1421 16TH ST),4282019020,Soft Story,3,3,0,8,
1432 16TH ST,4282020007,Soft Story,2,2,0,10,
1427 15TH ST,4282020019,Soft Story,3,3,0,10,
1423 15TH ST,4282020020,Soft Story,2,2,0,11,
1434 SANTA MONICA BLVD (1430 SANTA MONICA BLVD),4282021001,Unreinforced Masonry,3,,,,
1424 15TH ST,4282021005,Soft Story,2,2,0,10,
1428 15TH ST,4282021006,Soft Story,3,3,0,11,
1438 15TH ST,4282021008,Soft Story,2,2,0,7,
1444 15TH ST,4282021009,Soft Story,2,2,0,7,
1453 14TH ST  (1409 BROADWAY),4282021013,Unreinforced Masonry,1,,,,
1427 14TH ST (1427-1429 14TH ST),4282021016,Soft Story,3,3,0,8,
1423 14TH ST (1423-1425 14TH ST),4282021017,Soft Story,2,2,0,6,
1417 14TH ST,4282021018,Soft Story,3,3,0,11,
1424 14TH ST,4282022005,Soft Story,3,3,0,10,
1428 14TH ST,4282022006,Soft Story,3,3,0,10,
1438 14TH ST,4282022008,Soft Story,3,3,0,10,
1437 EUCLID ST,4282022018,Soft Story,2,2,0,11,
1433 EUCLID ST,4282022019,Soft Story,2,2,0,11,
1423 EUCLID ST,4282022021,Soft Story,3,3,0,11,
1457 12TH ST,4282023011,Soft Story,2,2,0,3,
1434 12TH ST,4282024008,Soft Story,2,2,0,10,
1438 12TH ST,4282024009,Soft Story,2,2,0,1,
1437 11TH ST,4282024020,Soft Story,2,2,0,8,
1433 11TH ST,4282024021,Soft Story,2,2,0,10,
1424 12TH ST (1424-1428 12TH ST),4282024027,Soft Story,3,3,0,20,
1425 11TH ST,4282024028,Soft Story,3,3,0,20,
1428 11TH ST (1428-1424 11TH ST),4282025007,Soft Story,2,2,0,10,
1437 10TH ST,4282025019,Soft Story,2,2,0,5,
1002 SANTA MONICA BLVD,4282025027,Unreinforced Masonry,2,,,,
920 SANTA MONICA BLVD (920-928 SANTA MONICA BLVD),4282026001,Unreinforced Masonry,3,,,,
1428 10TH ST,4282026005,Soft Story,2,2,0,7,
1444 10TH ST,4282026008,Soft Story,2,2,0,4,
1455 9TH ST,4282026012,Soft Story,2,2,0,25,
1445 9TH ST,4282026013,Soft Story,2,2,0,11,
1437 9TH ST,4282026015,Soft Story,2,2,0,7,
1433 9TH ST,4282026016,Soft Story,2,2,0,10,
1450 10TH ST,4282026022,Steel Moment Frame,4,,,0,
1432 9TH ST,4282027007,Soft Story,2,2,0,10,
1438 9TH ST,4282027034,Soft Story,2,2,0,0,
804 BROADWAY (802 BROADWAY),4282028017,Unreinforced Masonry,1,,,,
1518 10TH ST,4282029003,Soft Story,3,3,0,11,
1534 10TH ST,4282029006,Soft Story,3,3,0,10,
1541 9TH ST,4282029011,Soft Story,2,2,0,4,
1527 9TH ST,4282029014,Soft Story,3,3,0,8,
1517 9TH ST,4282029016,Soft Story,2,2,0,6,
1528 11TH ST,4282030006,Soft Story,2,2,0,6,
1538 11TH ST,4282030008,Soft Story,3,3,0,11,
1531 10TH ST,4282030017,Soft Story,2,2,0,7,
1525 10TH ST,4282030027,Soft Story,3,3,0,20,
1518 12TH ST,4282031007,Soft Story,2,2,0,6,
1524 12TH ST,4282031008,Soft Story,2,2,0,6,
1528 12TH ST,4282031009,Soft Story,3,3,0,11,
1101 COLORADO AVE,4282031016,Concrete Tilt-Up,,,,,
1534 EUCLID ST,4282032007,Soft Story,2,2,0,10,
1538 EUCLID ST,4282032008,Soft Story,2,2,0,11,
1550 EUCLID ST,4282032010,Unreinforced Masonry,1,,,,
1521 12TH ST,4282032018,Soft Story,2,2,0,10,
1519 12TH ST,4282032019,Soft Story,2,2,0,10,
1507 12TH ST,4282032022,Soft Story,3,3,0,13,
1511 12TH ST,4282032027,Soft Story,2,2,0,2,
1511 12TH ST,4282032028,Soft Story,2,2,0,4,
1518 EUCLID ST (1518-1522 EUCLID ST),4282032031,Soft Story,3,3,0,20,
1549 12TH ST (1545 12TH ST),4282032032,Unreinforced Masonry,1,,,,
1543 EUCLID ST,4282033015,Soft Story,2,2,0,10,
1514 14TH ST (1514-1518 14TH ST),4282033021,Soft Story,3,3,0,36,
1525 EUCLID ST,4282033900,Unreinforced Masonry,2,,,,
1530 15TH ST,4282034006,Soft Story,2,2,0,5,
1431 COLORADO AVE ,4282034009,Concrete Tilt-Up,,,,,
1557 14TH ST,4282034010,Non-Ductile Concrete,2,,,0,Commercial
1528 16TH ST,4282035006,Soft Story,2,2,0,3,
1524 17TH ST,4282036005,Soft Story,2,2,0,7,
1637 LINCOLN BLVD,4283002006,Concrete Tilt-Up,,,,,
902 COLORADO AVE (902-926 COLORADO AVE),4283002900,Concrete Tilt-Up,,,,,
1661 LINCOLN BLVD,4283003012,Non-Ductile Concrete,4,,,0,Commercial
929 OLYMPIC BLVD,4283004002,Concrete Tilt-Up,,,,,
1643 10TH ST,4283005009,Non-Ductile Concrete,1,,,0,Commercial
1131 OLYMPIC BLVD,4283006002,Concrete Tilt-Up,,,,,
1301 OLYMPIC BLVD,4283008017,Unreinforced Masonry,1,,,,
1601 OLYMPIC BLVD,4283010004,Concrete Tilt-Up,,,,,
1651 16TH ST,4283010900,Concrete Tilt-Up,,,,,
1401 OLYMPIC BLVD (BLDG 1),4283010901,Concrete Tilt-Up,,,,,
1401 OLYMPIC BLVD (BLDG 2),4283010901,Concrete Tilt-Up,,,,,
1753 16TH ST,4283011025,Soft Story,2,2,0,2,
1753 16TH ST,4283011026,Soft Story,2,2,0,2,
1513 MICHIGAN AVE,4283012022,Soft Story,2,2,0,5,
1748 16TH ST,4283012024,Soft Story,2,2,0,4,
1754 15TH ST,4283013010,Soft Story,2,2,0,6,
1750 14TH ST,4283014024,Soft Story,2,2,0,0,
1754 EUCLID ST,4283015002,Soft Story,2,2,0,6,
1749 10TH ST,4283017021,Soft Story,2,2,0,5,
1743 10TH ST,4283017024,Soft Story,2,1,0,4,
1743 9TH ST,4283018026,Soft Story,2,2,0,8,
1748 9TH ST,4283019004,Soft Story,2,2,0,7,
820 MICHIGAN AVE,4283020002,Soft Story,2,2,0,3,
1802 9TH ST,4283020003,Soft Story,2,2,0,2,
1838 9TH ST,4283020027,Soft Story,2,2,0,7,
1860 9TH ST,4283020040,Soft Story,2,2,0,15,
1834 9TH ST,4283020047,Soft Story,2,2,0,5,
1834 9TH ST,4283020048,Soft Story,2,2,0,5,
1834 9TH ST,4283020049,Soft Story,2,2,0,5,
1834 9TH ST,4283020050,Soft Story,2,2,0,5,
1834 9TH ST,4283020051,Soft Story,2,2,0,5,
1846 9TH ST,4283020053,Soft Story,2,2,0,5,
1846 9TH ST,4283020054,Soft Story,2,2,0,5,
1846 9TH ST,4283020055,Soft Story,2,2,0,5,
1846 9TH ST,4283020056,Soft Story,2,2,0,5,
1846 9TH ST,4283020057,Soft Story,2,2,0,5,
1819 9TH ST,4283021005,Soft Story,2,2,0,5,
1837 9TH ST,4283021009,Soft Story,2,2,0,6,
913 PICO BLVD,4283021017,Soft Story,2,2,0,0,
901 PICO BLVD,4283021019,Unreinforced Masonry,1,,,,
1843 9TH ST,4283021020,Soft Story,2,2,0,10,
1855 9TH ST,4283021021,Soft Story,2,2,0,11,
1814 10TH ST,4283022004,Soft Story,2,2,0,5,
1856 10TH ST,4283022012,Soft Story,2,2,0,6,
1833 10TH ST,4283023023,Soft Story,2,2,0,7,
1908 11TH ST,4283024007,Soft Story,2,2,0,6,
1846 11TH ST (1846-1848 11TH ST),4283024011,Soft Story,2,2,0,3,
1917 11TH ST,4283025021,Soft Story,2,2,0,6,
1917 11TH ST,4283025022,Soft Story,2,2,0,6,
1917 11TH ST,4283025023,Soft Story,2,2,0,6,
1917 11TH ST,4283025024,Soft Story,2,2,0,6,
1917 11TH ST,4283025025,Soft Story,2,2,0,6,
1917 11TH ST,4283025026,Soft Story,2,2,0,6,
1934 12TH ST,4283026002,Soft Story,2,2,0,6,
1922 12TH ST,4283026004,Soft Story,2,2,0,2,
1918 12TH ST,4283026005,Soft Story,2,2,0,1,
1914 12TH ST,4283026006,Soft Story,2,2,0,2,
1908 12TH ST,4283026007,Soft Story,2,2,0,6,
1844 12TH ST (1844-1846 12TH ST),4283026011,Soft Story,2,2,0,6,
1840 12TH ST,4283026012,Soft Story,2,2,0,5,
1820 12TH ST,4283026016,Soft Story,2,2,0,6,
1804 12TH ST,4283026019,Soft Story,2,2,0,6,
1801 12TH ST (1801 12TH ST/1210-1212 MICHIGAN AVE),4283027001,Soft Story,2,2,0,6,
1807 12TH ST (1807-1809 12TH ST),4283027002,Soft Story,2,2,0,2,
1813 12TH ST,4283027003,Soft Story,2,2,0,6,
1853 12TH ST,4283027011,Soft Story,2,2,0,4,
1901 12TH ST,4283027012,Soft Story,2,2,0,3,
1943 12TH ST,4283027020,Soft Story,2,2,0,4,
1211 PICO BLVD,4283027023,Soft Story,3,3,0,20,
1942 EUCLID ST,4283028002,Soft Story,3,3,0,15,
1938 EUCLID ST,4283028003,Soft Story,2,2,0,8,
1934 EUCLID ST,4283028004,Soft Story,2,2,0,6,
1844 EUCLID ST,4283028013,Soft Story,2,2,0,4,
1840 EUCLID ST,4283028014,Soft Story,2,2,0,5,
1220 MICHIGAN AVE (1222) (1802 EUCLID ST),4283028021,Soft Story,2,2,0,3,
1817 EUCLID ST,4283029003,Soft Story,2,2,0,5,
1827 EUCLID ST,4283029006,Soft Story,2,2,0,6,
1911 EUCLID ST,4283029013,Soft Story,2,2,0,6,
1851 EUCLID ST (1847-1853 EUCLID ST),4283029026,Soft Story,2,2,0,7,
1358 MICHIGAN AVE (1804 14TH ST),4283030025,Unreinforced Masonry,2,,,,
1847 14TH ST,4283031900,Concrete Tilt-Up,,,,,
1836 17TH ST,4283032007,Soft Story,2,2,0,7,
826 PICO BLVD,4284001008,Unreinforced Masonry,2,,,,
844 PICO BLVD,4284001012,Soft Story,2,2,0,6,
828 PICO BLVD,4284001040,Unreinforced Masonry,1,,,,
827 BAY ST,4284001042,Soft Story,2,2,0,9,
827 BAY ST,4284001043,Soft Story,2,2,0,9,
827 BAY ST,4284001044,Soft Story,2,2,0,9,
827 BAY ST,4284001045,Soft Story,2,2,0,9,
827 BAY ST,4284001046,Soft Story,2,2,0,9,
827 BAY ST,4284001047,Soft Story,2,2,0,9,
827 BAY ST,4284001048,Soft Story,2,2,0,9,
827 BAY ST,4284001049,Soft Story,2,2,0,9,
827 BAY ST,4284001050,Soft Story,2,2,0,9,
820 BAY ST,4284002007,Soft Story,3,3,0,5,
2010 10TH ST (2010-2012 10TH ST),4284002014,Soft Story,2,2,0,3,
825 GRANT ST (825-829 GRANT ST),4284002019,Soft Story,2,2,0,10,
909 GRANT ST,4284002042,Soft Story,2,2,0,5,
909 GRANT ST,4284002043,Soft Story,2,2,0,5,
909 GRANT ST,4284002044,Soft Story,2,2,0,5,
909 GRANT ST,4284002045,Soft Story,2,2,0,5,
909 GRANT ST,4284002046,Soft Story,2,2,0,5,
835 PACIFIC ST,4284003015,Soft Story,2,2,0,9,
2220 10TH ST (2220-2226 10TH ST),4284004013,Soft Story,2,2,0,4,
837 PEARL ST,4284004014,Soft Story,2,2,0,2,
821 PEARL ST,4284004021,Soft Story,2,2,0,5,
835 CEDAR ST,4284005002,Soft Story,2,2,0,4,
822 PEARL ST (820-822 PEARL ST),4284005010,Soft Story,2,2,0,12,
830 PEARL ST,4284005011,Soft Story,2,2,0,3,
2306 10TH ST (2302-2306 10TH ST),4284005014,Soft Story,2,2,0,4,
2323 LINCOLN BLVD,4284005021,Unreinforced Masonry,1,,,,
817 PINE ST,4284006005,Soft Story,2,2,0,5,
818 MAPLE ST,4284008010,Soft Story,2,2,0,3,
824 MAPLE ST,4284008011,Soft Story,2,2,0,6,
1047 OCEAN PARK BLVD,4284009001,Soft Story,2,2,0,4,
1017 OCEAN PARK BLVD,4284009007,Soft Story,2,2,0,7,
1013 OCEAN PARK BLVD,4284009008,Soft Story,2,2,0,11,
1007 OCEAN PARK BLVD,4284009009,Soft Story,2,2,0,6,
2519 10TH ST (2519-2525 10TH ST),4284009010,Soft Story,2,2,0,4,
1023 OCEAN PARK BLVD,4284009021,Soft Story,2,2,0,18,
1043 PINE ST,4284011002,Soft Story,2,2,0,1,
1017 PINE ST,4284011008,Soft Story,2,2,0,1,
1031 CEDAR ST,4284012005,Soft Story,2,2,0,1,
1042 PEARL ST,4284012021,Soft Story,2,2,0,3,
1004 PACIFIC ST,4284013001,Soft Story,2,2,0,1,
1012 PACIFIC ST,4284013003,Soft Story,2,2,0,3,
1018 PACIFIC ST,4284013004,Soft Story,2,2,0,5,
1022 PACIFIC ST,4284013005,Soft Story,2,2,0,5,
1044 PACIFIC ST,4284013009,Soft Story,2,2,0,5,
1043 PEARL ST,4284013015,Soft Story,2,2,0,2,
1033 PEARL ST,4284013017,Soft Story,2,2,0,4,
1027 PEARL ST,4284013018,Soft Story,2,2,0,3,
1017 PEARL ST,4284013026,Soft Story,2,2,0,5,
1017 PEARL ST,4284013027,Soft Story,2,2,0,5,
1017 PEARL ST,4284013028,Soft Story,2,2,0,5,
1017 PEARL ST,4284013029,Soft Story,2,2,0,5,
1017 PEARL ST,4284013030,Soft Story,2,2,0,5,
1018 GRANT ST,4284014003,Soft Story,2,2,0,5,
1022 GRANT ST,4284014004,Soft Story,2,2,0,5,
1038 GRANT ST (1038-1040 GRANT ST),4284014007,Soft Story,3,3,0,3,
1044 GRANT ST,4284014009,Soft Story,2,2,0,3,
1043 PACIFIC ST,4284014012,Soft Story,2,2,0,4,
1927 17TH ST,4284014017,Soft Story,2,2,0,2,
2007 10TH ST,4284015001,Soft Story,2,2,0,4,
1043 GRANT ST,4284015013,Soft Story,2,2,0,4,
1011 GRANT ST,4284015019,Soft Story,2,2,0,4,
1007 GRANT ST,4284015020,Soft Story,2,2,0,4,
1020 PICO BLVD,4284016004,Soft Story,2,2,0,1,
1035 BAY ST (1033-1035 BAY ST),4284016014,Soft Story,2,2,0,4,
1009 BAY ST,4284016019,Soft Story,2,2,0,4,
1209 BAY ST,4284017001,Soft Story,2,2,0,4,
1204 BAY ST,4284018005,Soft Story,2,2,0,5,
1118 BAY ST,4284018009,Soft Story,2,2,0,3,
1114 BAY ST,4284018010,Soft Story,2,2,0,3,
2521 EUCLID ST (2521 EUCLID ST/1307 OCEAN PARK BLVD),4284025001,Soft Story,2,2,0,7,
2505 14TH ST,4284026002,Soft Story,2,2,0,3,
2511 14TH ST,4284026003,Soft Story,2,2,0,3,
2525 14TH ST,4284026024,Soft Story,2,2,0,7,
2525 14TH ST,4284026025,Soft Story,2,2,0,7,
2525 14TH ST,4284026026,Soft Story,2,2,0,7,
2525 14TH ST,4284026027,Soft Story,2,2,0,7,
2525 14TH ST,4284026028,Soft Story,2,2,0,7,
2525 14TH ST,4284026029,Soft Story,2,2,0,7,
2525 14TH ST,4284026030,Soft Story,2,2,0,7,
1515 OCEAN PARK BLVD ,4284026804,Concrete Tilt-Up,,,,,
1320 PICO BLVD,4284033003,Soft Story,2,2,0,11,
1320 PICO BLVD,4284033004,Soft Story,2,2,0,11,
2019 EUCLID ST,4284033006,Soft Story,2,2,0,5,
2028 14TH ST,4284033012,Soft Story,2,2,0,8,
2020 14TH ST,4284033014,Soft Story,2,2,0,26,
1417 PEARL ST,4284037018,Soft Story,2,2,0,6,
2219 14TH ST,4284037022,Soft Story,2,2,0,1,
2315 14TH ST,4284038014,Soft Story,3,3,0,11,
2319 14TH ST,4284038015,Soft Story,3,3,0,13,
2323 14TH ST,4284038016,Soft Story,2,2,0,11,
1503 MAPLE ST,4284038022,Soft Story,2,2,0,2,
2318 16TH ST,4284038031,Soft Story,3,2,1,12,
825 HILL ST,4285001003,Soft Story,2,2,0,5,
829 HILL ST,4285001004,Soft Story,2,2,0,6,
2704 11TH ST,4285001017,Soft Story,2,2,0,6,
2602 11TH ST (2602-2612 11TH ST),4285001024,Soft Story,2,2,0,6,
2626 11TH ST,4285001031,Soft Story,2,2,0,7,
817 HILL ST,4285001033,Soft Story,2,2,0,14,
2630 11TH ST,4285001035,Soft Story,3,3,0,6,
2630 11TH ST,4285001036,Soft Story,3,3,0,6,
2630 11TH ST,4285001037,Soft Story,3,3,0,6,
2630 11TH ST,4285001038,Soft Story,3,3,0,6,
2630 11TH ST,4285001039,Soft Story,3,3,0,6,
2630 11TH ST,4285001040,Soft Story,3,3,0,6,
1021 HILL ST,4285001050,Soft Story,2,2,0,7,
1021 HILL ST,4285001051,Soft Story,2,2,0,7,
1021 HILL ST,4285001052,Soft Story,2,2,0,7,
1021 HILL ST,4285001053,Soft Story,2,2,0,7,
1021 HILL ST,4285001054,Soft Story,2,2,0,7,
1021 HILL ST,4285001055,Soft Story,2,2,0,7,
1021 HILL ST,4285001056,Soft Story,2,2,0,7,
2702 11TH ST (2702-2706 11TH ST),4285001058,Soft Story,2,2,0,6,
2702 11TH ST (2702-2706 11TH ST),4285001059,Soft Story,2,2,0,6,
2702 11TH ST (2702-2706 11TH ST),4285001060,Soft Story,2,2,0,6,
2702 11TH ST (2702-2706 11TH ST),4285001061,Soft Story,2,2,0,6,
2702 11TH ST (2702-2706 11TH ST),4285001062,Soft Story,2,2,0,6,
2702 11TH ST (2702-2706 11TH ST),4285001063,Soft Story,2,2,0,6,
