address,apn,building_type,stories_total,stories_above,stories_below,units,occupancy_type
1517 HARVARD ST,4267024059,Soft Story,2,2,0,9,
1511 YALE ST (1511-1515 YALE ST),4267025006,Soft Story,2,2,0,7,
1517 YALE ST,4267025008,Soft Story,2,2,0,3,
1527 YALE ST,4267025012,Soft Story,2,2,0,7,
1535 YALE ST (1535-1537 YALE ST),4267025016,Soft Story,3,3,0,7,
1545 YALE ST (1541-1545 YALE ST),4267025017,Soft Story,3,3,0,7,
1551 YALE ST,4267025020,Soft Story,2,2,0,3,
2917 COLORADO AVE,4267025023,Soft Story,2,2,0,5,
2929 COLORADO AVE,4267025028,Soft Story,2,2,0,18,
1518 BERKELEY ST,4267026008,Soft Story,2,2,0,7,
1531 STANFORD ST,4267026013,Soft Story,2,2,0,4,
1543 STANFORD ST,4267026017,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026061,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026062,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026063,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026064,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026065,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026066,Soft Story,2,2,0,7,
1532 BERKELEY ST,4267026067,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026068,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026069,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026070,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026071,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026072,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026073,Soft Story,2,2,0,7,
1528 BERKELEY ST,4267026074,Soft Story,2,2,0,7,
1507 BERKELEY ST,4267027003,Soft Story,2,2,0,7,
1533 BERKELEY ST,4267027014,Soft Story,2,2,0,7,
1537 BERKELEY ST,4267027016,Soft Story,3,3,0,7,
1510 FRANKLIN ST,4267027057,Soft Story,2,2,0,3,
1521 CENTINELA AVE,4267028004,Soft Story,2,2,0,5,
1537 CENTINELA AVE,4267028007,Soft Story,2,2,0,7,
3219 COLORADO AVE,4267028026,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028027,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028028,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028029,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028030,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028031,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028032,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028033,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028034,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028035,Soft Story,2,2,0,11,
3219 COLORADO AVE,4267028036,Soft Story,2,2,0,11,
1655 26TH ST,4268001033,Non-Ductile Concrete,2,,,0,Commercial
1681 26TH ST,4268001040,Concrete Tilt-Up,,,,,
2600 COLORADO AVE,4268001050,Non-Ductile Concrete,5,,,0,Residential
3010 COLORADO AVE,4268004003,Soft Story,2,2,0,4,
3014 COLORADO AVE,4268004004,Soft Story,2,2,0,5,
3022 COLORADO AVE,4268004006,Soft Story,2,2,0,4,
1634 BERKELEY ST,4268004012,Soft Story,2,2,0,3,
1642 BERKELEY ST,4268004014,Soft Story,3,3,0,4,
1660 BERKELEY ST,4268004018,Soft Story,2,2,0,6,
3116 COLORADO AVE,4268005004,Soft Story,2,2,0,4,
3120 COLORADO AVE,4268005005,Soft Story,2,2,0,4,
3124 COLORADO AVE,4268005006,Soft Story,2,2,0,4,
1622 FRANKLIN ST,4268005008,Soft Story,2,2,0,2,
1646 FRANKLIN ST,4268005014,Soft Story,2,2,0,4,
3107 PENNSYLVANIA AVE,4268005018,Soft Story,2,2,0,6,
1653 BERKELEY ST,4268005019,Soft Story,2,2,0,4,
1649 BERKELEY ST,4268005020,Soft Story,2,2,0,3,
1637 BERKELEY ST,4268005023,Soft Story,2,2,0,4,
1633 BERKELEY ST,4268005024,Soft Story,2,2,0,4,
1601 FRANKLIN ST,4268006001,Soft Story,2,2,0,5,
1615 CENTINELA AVE,4268006008,Soft Story,2,2,0,4,
1645 CENTINELA AVE,4268006015,Soft Story,2,2,0,6,
1653 FRANKLIN ST,4268006020,Soft Story,2,2,0,4,
1629 FRANKLIN ST,4268006033,Soft Story,2,2,0,5,
1629 FRANKLIN ST,4268006034,Soft Story,2,2,0,5,
1629 FRANKLIN ST,4268006035,Soft Story,2,2,0,5,
1629 FRANKLIN ST,4268006036,Soft Story,2,2,0,5,
1629 FRANKLIN ST,4268006037,Soft Story,2,2,0,5,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006057,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006058,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006059,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006060,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006061,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006062,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006063,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006064,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006065,Soft Story,2,2,0,10,
1625 CENTINELA AVE (1621 CENTINELA AVE),4268006066,Soft Story,2,2,0,10,
1621 FRANKLIN ST,4268006067,Soft Story,2,2,0,4,
1715 CENTINELA AVE,4268007004,Soft Story,2,2,0,5,
1725 CENTINELA AVE,4268007007,Soft Story,2,2,0,5,
1741 CENTINELA AVE,4268007010,Soft Story,2,2,0,5,
1743 CENTINELA AVE,4268007011,Soft Story,2,2,0,5,
1759 CENTINELA AVE (1759 CENTINELA AVE/3221 NEBRASKA AVE),4268007015,Soft Story,2,2,0,4,
1735 FRANKLIN ST,4268007022,Soft Story,2,2,0,5,
1723 CENTINELA AVE,4268007033,Soft Story,2,2,0,5,
1755 FRANKLIN ST,4268007034,Soft Story,2,2,0,10,
1733 CENTINELA AVE,4268007035,Soft Story,2,2,0,10,
1712 FRANKLIN ST (1710-1712 FRANKLIN ST),4268008003,Soft Story,2,2,0,4,
1716 FRANKLIN ST,4268008004,Soft Story,2,2,0,1,
1736 FRANKLIN ST,4268008009,Soft Story,2,2,0,3,
1744 FRANKLIN ST,4268008011,Soft Story,2,2,0,3,
1748 FRANKLIN ST,4268008012,Soft Story,2,2,0,4,
3030 NEBRASKA AVE,4268010008,Steel Moment Frame,2,,,0,
3030 OLYMPIC BLVD,4268013021,Non-Ductile Concrete,4,,,0,Commercial
1707 CLOVERFIELD BLVD,4268014013,Concrete Tilt-Up,,,,,
1620 26TH ST,4268018046,Steel Moment Frame,6,,,0,
2425 OLYMPIC BLVD,4268018047,Steel Moment Frame,6,,,0,
2860 EXPOSITION BLVD,4268019029,Soft Story,2,2,0,4,
2801 DELAWARE AVE,4268019041,Soft Story,2,2,0,3,
2900 EXPOSITION BLVD,4268022001,Soft Story,2,2,0,3,
2918 EXPOSITION BLVD (2918-2920 EXPOSITION BLVD),4268022004,Soft Story,2,2,0,3,
2958 EXPOSITION BLVD,4268022012,Soft Story,2,2,0,3,
1808 WARWICK AVE (1808-1812 WARWICK AVE),4268023010,Soft Story,2,2,0,4,
2344 28TH ST,4270003003,Soft Story,2,2,0,4,
2312 28TH ST,4270003007,Soft Story,2,2,0,4,
